PROBEID	ENTREZID	SYMBOL
1416067_at	15982	Ifrd1
1416068_at	85305	Kars
1416069_at	56421	Pfkp
1416070_a_at	66942	Ddx18
1416071_at	66942	Ddx18
1416072_at	12490	Cd34
1416073_a_at	18541|445007	Pcnt|Nup85
1416074_a_at	100039731|19943	Gm10051|Rpl28
1416075_at	64010	Sav1
1416076_at	268697|434175	Ccnb1|Gm5593
1416077_at	11535	Adm
1416078_s_at	110157	Raf1
1416079_a_at	56443	Arpc1a
1416080_at	11490	Adam15
1416081_at	17125	Smad1
1416082_at	19324	Rab1
1416083_at	22682	Zfand5
1416084_at	22682	Zfand5
1416085_s_at	22682	Zfand5
1416086_at	22022	Tpst2
1416087_at	11769	Ap1s1
1416088_a_at	20054	Rps15
1416089_at	20054	Rps15
1416090_at	68263	Pdhb
1416091_at	17758	Map4
1416092_a_at	17758	Map4
1416093_a_at	66448	Mrpl20
1416094_at	11502	Adam9
1416095_x_at	66118	Sarnp
1416096_at	104799	Vipas39
1416097_at	192198	Lrrc4
1416098_at	20974	Syngr3
1416099_at	19942	Rpl27
1416100_at	55944	Eif3d
1416101_a_at	50708	Hist1h1c
1416102_at	22631	Ywhaz
1416103_at	22631	Ywhaz
1416104_at	24070	Mpdu1
1416105_at	18115	Nnt
1416106_at	100087	Kti12
1416107_at	18197	Nsg2
1416108_a_at	66111	Tmed3
1416109_at	71665	Fuca1
1416110_at	67843	Slc35a4
1416111_at	12522	Cd83
1416112_at	12868	Cox8a
1416113_at	14232	Fkbp8
1416114_at	13602	Sparcl1
1416115_at	50793	Orc3
1416116_at	50793	Orc3
1416117_at	50793	Orc3
1416118_at	66949	Trim59
1416119_at	22166	Txn1
1416120_at	20135	Rrm2
1416121_at	16948	Lox
1416122_at	12444	Ccnd2
1416123_at	12444	Ccnd2
1416124_at	12444	Ccnd2
1416125_at	14229	Fkbp5
1416126_at	20017	Polr1b
1416127_a_at	13437	Dnpep
1416128_at	22146|626534	Tuba1c|Gm6682
1416129_at	74155	Errfi1
1416130_at	19122	Prnp
1416131_s_at	76740	Efr3a
1416132_at	76740	Efr3a
1416133_at	76740	Efr3a
1416134_at	11803	Aplp1
1416135_at	11792	Apex1
1416136_at	17390	Mmp2
1416137_at	11750	Anxa7
1416138_at	11750	Anxa7
1416139_at	19693	Reg2
1416140_a_at	72831	Dhx30
1416141_a_at	20104|667739	Rps6|Rps6-ps4
1416142_at	20104	Rps6
1416143_at	11957	Atp5j
1416144_a_at	13204	Dhx15
1416145_at	13204	Dhx15
1416146_at	15525	Hspa4
1416147_at	15525	Hspa4
1416148_at	114128	Laptm4b
1416149_at	50914	Olig1
1416150_a_at	20383	Srsf3
1416151_at	20383	Srsf3
1416152_a_at	20383	Srsf3
1416153_at	100101806|24067|665155	Srp54c|Srp54a|Srp54b
1416154_at	24067|665155	Srp54a|Srp54b
1416155_at	15354	Hmgb3
1416156_at	22330	Vcl
1416157_at	22330	Vcl
1416158_at	11819	Nr2f2
1416159_at	11819	Nr2f2
1416160_at	11819	Nr2f2
1416161_at	19357	Rad21
1416162_at	19357	Rad21
1416163_at	26891	Cops4
1416164_at	23876	Fbln5
1416165_at	106572	Rab31
1416166_a_at	53381	Prdx4
1416167_at	53381	Prdx4
1416168_at	20317	Serpinf1
1416169_at	116913	Tpbpb
1416170_at	68015	Trap1
1416171_at	69612	Kansl2
1416172_at	64934	Pes1
1416173_at	64934	Pes1
1416174_at	26450	Rbbp9
1416175_a_at	22335	Vdac3
1416176_at	100862258|15289|619937	Gm21596|Hmgb1|Hmgb1-ps10
1416177_at	19656	Rbmxl1
1416178_a_at	27276	Plekhb1
1416179_a_at	19684	Rdx
1416180_a_at	19684	Rdx
1416181_at	67943	Mesdc2
1416182_at	57267	Apba3
1416183_a_at	16832	Ldhb
1416184_s_at	111241|15361	Hmga1-rs1|Hmga1
1416185_a_at	11532	Adh5
1416186_at	52830	Pnrc2
1416187_s_at	52830	Pnrc2
1416188_at	14667	Gm2a
1416189_a_at	53421	Sec61a1
1416190_a_at	53421	Sec61a1
1416191_at	53421	Sec61a1
1416192_at	108124	Napa
1416193_at	12346	Car1
1416194_at	13120	Cyp4b1
1416195_at	19062	Inpp5k
1416196_at	16785	Rpsa
1416197_at	20630	Snrpc
1416198_at	57314	Nelfcd
1416199_at	16582	Kifc3
1416200_at	77125	Il33
1416201_at	12928	Crk
1416202_at	12034	Phb2
1416203_at	11826	Aqp1
1416204_at	14555	Gpd1
1416205_at	12091	Glb1
1416206_at	20469	Sipa1
1416207_at	66826	Taz
1416208_at	59025	Usp14
1416209_at	14661	Glud1
1416210_at	102462	Imp3
1416211_a_at	19242	Ptn
1416212_at	17149	Magoh
1416213_x_at	20932	Surf4
1416214_at	17217	Mcm4
1416215_at	53334	Gosr1
1416216_at	19707	Reps1
1416217_a_at	19981	Rpl37a
1416218_x_at	19981	Rpl37a
1416219_at	19921	Rpl19
1416220_at	69019	Spcs1
1416221_at	14314	Fstl1
1416222_at	18194	Nsdhl
1416223_at	79566	Sh3bp5l
1416224_at	22642	Zbtb17
1416225_at	11522	Adh1
1416226_at	11867	Arpc1b
1416227_at	11867	Arpc1b
1416228_at	23988	Pin1
1416229_at	54391	Rfk
1416230_at	54391	Rfk
1416231_at	234729	Vac14
1416232_at	50913	Olig2
1416233_at	54709	Eif3i
1416234_at	98238	Lrrc59
1416235_at	98238	Lrrc59
1416236_a_at	14012	Mpzl2
1416237_at	14012	Mpzl2
1416238_at	21846	Tie1
1416239_at	11898|432466	Ass1|Gm5424
1416240_at	19177	Psmb7
1416241_at	110379	Sec13
1416242_at	67455	Klhl13
1416243_a_at	66489	Rpl35
1416244_a_at	12785	Cnbp
1416245_at	66077	Aurkaip1
1416246_a_at	12721	Coro1a
1416247_at	53598	Dctn3
1416248_at	192185	Nadk
1416249_at	192185	Nadk
1416250_at	12227	Btg2
1416251_at	17219	Mcm6
1416252_at	106504	Stk38
1416253_at	12581	Cdkn2d
1416254_a_at	80743	Vps16
1416255_at	14612	Gja4
1416256_a_at	22154	Tubb5
1416257_at	12334	Capn2
1416258_at	21877	Tk1
1416259_at	103737	Pex12
1416260_a_at	56440	Snx1
1416261_at	67226	Tmem19
1416262_at	67226	Tmem19
1416263_at	56325	Abcb9
1416264_at	56325	Abcb9
1416265_at	23830	Capn10
1416266_at	18610	Pdyn
1416267_at	56367	Scoc
1416268_at	23872	Ets2
1416269_at	57423	Atp5j2
1416270_at	67710	Polr2g
1416271_at	64058	Perp
1416272_at	56692	Lamtor3
1416273_at	21928	Tnfaip2
1416274_at	83429	Ctns
1416275_at	171429	Slc26a6
1416276_a_at	20102	Rps4x
1416277_a_at	279067|56040	Gm13777|Rplp1
1416278_a_at	28080	Atp5o
1416279_at	11764	Ap1b1
1416280_at	50995	Uba2
1416281_at	66840	Wdr45b
1416282_at	19182	Psmc3
1416283_at	14450	Gart
1416284_at	68611	Mrpl28
1416285_at	66377	Ndufc1
1416286_at	19736	Rgs4
1416287_at	19736	Rgs4
1416288_at	15502	Dnaja1
1416289_at	18822	Plod1
1416290_a_at	23996	Psmc4
1416291_at	23996	Psmc4
1416292_at	11757	Prdx3
1416293_at	18028	Nfib
1416294_at	24045	Scamp3
1416295_a_at	16186	Il2rg
1416296_at	16186	Il2rg
1416297_s_at	18489	Reg3b
1416298_at	17395	Mmp9
1416299_at	20419	Shcbp1
1416300_a_at	18674	Slc25a3
1416301_a_at	13591	Ebf1
1416302_at	13591	Ebf1
1416303_at	56722	Litaf
1416304_at	56722	Litaf
1416305_at	98402	Sh3bp4
1416306_at	23844	Clca1
1416307_at	11767	Ap1m1
1416308_at	22235	Ugdh
1416309_at	108907	Nusap1
1416310_at	108907	Nusap1
1416311_s_at	22144|22147	Tuba3a|Tuba3b
1416312_at	104458	Rars
1416313_at	56772	Mllt11
1416314_at	56772	Mllt11
1416315_at	105501	Abhd4
1416316_at	26458	Slc27a2
1416317_a_at	70527	Stambp
1416318_at	66222	Serpinb1a
1416319_at	11534	Adk
1416320_at	317717	Sec22a
1416321_s_at	116847	Prelp
1416322_at	116847	Prelp
1416323_at	66989	Kctd20
1416324_s_at	66989	Kctd20
1416325_at	11571	Crisp1
1416326_at	12925	Crip1
1416327_at	66155	Ufc1
1416328_a_at	11974	Atp6v0e
1416329_at	20430	Cyfip1
1416330_at	12520	Cd81
1416331_a_at	18023	Nfe2l1
1416332_at	12696	Cirbp
1416333_at	13449	Dok2
1416334_at	80707	Wwox
1416335_at	17319	Mif
1416336_s_at	100043882|20641	Gm14277|Snrpd1
1416337_at	67530	Uqcrb
1416338_at	20405	Sh3gl1
1416339_a_at	19089	Prkcsh
1416340_a_at	17159	Man2b1
1416341_at	20021	Polr2c
1416342_at	21923	Tnc
1416343_a_at	16784	Lamp2
1416344_at	16784	Lamp2
1416345_at	30058	Timm8a1
1416346_at	30058	Timm8a1
1416347_at	17283	Men1
1416348_at	17283	Men1
1416349_at	94065	Mrpl34
1416350_at	118445	Klf16
1416351_at	26395	Map2k1
1416352_s_at	106529	Tecr
1416353_at	22260	Nr1h2
1416354_at	19655	Rbmx
1416355_at	19655	Rbmx
1416356_at	105446	Gmpr2
1416357_a_at	84004	Mcam
1416358_at	68294	Mfsd10
1416359_at	170625	Snx18
1416360_at	170625	Snx18
1416361_a_at	13426	Dync1i1
1416362_a_at	14228	Fkbp4
1416363_at	102642559|14228	LOC102642559|Fkbp4
1416364_at	15516	Hsp90ab1
1416365_at	15516	Hsp90ab1
1416366_at	102641347|68197	LOC102641347|Ndufc2
1416367_at	66117	1110001J03Rik
1416368_at	14860	Gsta4
1416369_at	66631	Hiatl1
1416370_at	22697	Zscan21
1416371_at	11815	Apod
1416372_at	19210	Ptdss1
1416373_at	18041	Nfs1
1416374_at	55946	Ap3m1
1416375_at	55946	Ap3m1
1416376_at	69071	Tmem97
1416377_at	50996	Pdcd7
1416378_at	59047	Pnkp
1416379_at	55991	Panx1
1416380_at	17454	Mov10
1416381_a_at	54683	Prdx5
1416382_at	13032	Ctsc
1416383_a_at	18563	Pcx
1416384_a_at	59042	Cope
1416385_a_at	17113	M6pr
1416386_a_at	17113	M6pr
1416387_at	117150	Pip4k2c
1416388_at	117150	Pip4k2c
1416389_a_at	105670	Rcbtb2
1416390_at	105670	Rcbtb2
1416391_at	71799	Ptcd1
1416392_a_at	11984	Atp6v0c
1416393_at	14791	Emg1
1416394_at	12017	Bag1
1416395_at	14923	Guk1
1416396_at	69150	Snx4
1416397_at	80889	Mesdc1
1416398_at	80889	Mesdc1
1416399_a_at	15369	Hmox2
1416400_at	66194	Pycrl
1416401_at	12521	Cd82
1416402_at	56199	Abcb10
1416403_at	56199	Abcb10
1416404_s_at	100039355|100862433|20055	Rps16-ps2|LOC100862433|Rps16
1416405_at	12111	Bgn
1416406_at	18611	Pea15a
1416407_at	18611	Pea15a
1416408_at	11430	Acox1
1416409_at	11430	Acox1
1416410_at	18476	Pafah1b3
1416411_at	14863	Gstm2
1416412_at	18201	Nsmaf
1416413_at	26898	Ctsj
1416414_at	100952	Emilin1
1416415_a_at	51788|666634	H2afz|Gm8203
1416416_x_at	14862	Gstm1
1416417_a_at	66916	Ndufb7
1416418_at	57436	Gabarapl1
1416419_s_at	57436	Gabarapl1
1416420_a_at	20005|432768	Rpl9|Gm5451
1416421_a_at	20823	Ssb
1416422_a_at	20823	Ssb
1416423_x_at	20823	Ssb
1416424_at	66905	Plin3
1416425_at	19298	Pex19
1416426_at	271457	Rab5a
1416427_at	12453	Ccni
1416428_at	59016	Thap11
1416429_a_at	12359	Cat
1416430_at	12359	Cat
1416431_at	67951	Tubb6
1416432_at	170768	Pfkfb3
1416433_at	19891	Rpa2
1416434_at	12049	Bcl2l10
1416435_at	17000	Ltbr
1416436_a_at	56046	Uqcc1
1416437_a_at	30957	Mapk8ip3
1416438_at	67959	Puf60
1416439_at	66422	Dctpp1
1416440_at	53599	Cd164
1416441_at	54381	Cpq
1416442_at	15936	Ier2
1416443_a_at	56459	Sae1
1416444_at	54326	Elovl2
1416445_at	72722	Fam98a
1416446_at	69981	Tmem30a
1416447_at	69981	Tmem30a
1416448_at	16434	Itpa
1416449_x_at	20911	Stxbp2
1416450_at	63856	Taf8
1416451_s_at	63856	Taf8
1416452_at	18242	Oat
1416453_x_at	20042|671641	Rps12|Rps12l2
1416454_s_at	11475	Acta2
1416455_a_at	12955	Cryab
